Product ID,Product Name,Category,Sub-Category,Price Per Unit
OFF-TEN-10000025,"Tenex Lockers, Blue",Office Supplies,Storage,133.35
OFF-SU-10000618,"Acme Trimmer, High Speed",Office Supplies,Supplies,24.9
OFF-TEN-10001585,"Tenex Box, Single Width",Office Supplies,Storage,7.08
OFF-PA-10001492,"Enermax Note Cards, Premium",Office Supplies,Paper,22.2
FUR-FU-10003447,"Eldon Light Bulb, Duo Pack",Furniture,Furnishings,14.26
OFF-PA-10001968,"Eaton Computer Printout Paper, 8.5 x 11",Office Supplies,Paper,19.1
TEC-CO-10002316,"Brother Personal Copier, Laser",Technology,Copiers,78.54
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases,116.38
OFF-FEL-10001541,"Fellowes Lockers, Wire Frame",Office Supplies,Storage,60.44
OFF-ST-10002161,"Tenex Trays, Single Width",Office Supplies,Storage,16.68
OFF-AP-10001254,"KitchenAid Coffee Grinder, Red",Office Supplies,Appliances,36.36
OFF-AP-10002317,"Hamilton Beach Refrigerator, Silver",Office Supplies,Appliances,179.85
FUR-ADV-10002601,"Advantus Photo Frame, Erganomic",Furniture,Furnishings,23.58
OFF-AR-10001529,"Binney & Smith Pencil Sharpener, Easy-Erase",Office Supplies,Art,21.02
OFF-SU-10000484,"Kleencut Ruler, High Speed",Office Supplies,Supplies,5.92
TEC-AC-10001221,"Memorex Memory Card, USB",Technology,Accessories,47.66
OFF-AR-10000980,"Sanford Pencil Sharpener, Water Color",Office Supplies,Art,17.31
OFF-BI-10003012,"Wilson Jones Hole Reinforcements, Economy",Office Supplies,Binders,1.55
OFF-LA-10001292,"Smead File Folder Labels, Adjustable",Office Supplies,Labels,2.22
OFF-EN-10004597,"GlobeWeis Peel and Seal, Set of 50",Office Supplies,Envelopes,18.05
OFF-BI-10001249,"Acco Hole Reinforcements, Recycled",Office Supplies,Binders,2.89
OFF-BI-10001717,"Avery Hole Reinforcements, Durable",Office Supplies,Binders,3.35
OFF-BI-10000719,"Wilson Jones Hole Reinforcements, Clear",Office Supplies,Binders,1.69
OFF-FEL-10001405,"Fellowes File Cart, Industrial",Office Supplies,Storage,78.79
FUR-BO-10000259,"Safco Classic Bookcase, Traditional",Furniture,Bookcases,274.11
TEC-LOG-10003896,"Logitech Router, Erganomic",Technology,Accessories,176.61
OFF-AP-10002568,"Hamilton Beach Toaster, Black",Office Supplies,Appliances,29.81
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,122.75
FUR-HAR-10001792,"Harbour Creations Bag Chairs, Red",Furniture,Chairs,18.68
FUR-CH-10002830,"Office Star Rocking Chair, Red",Furniture,Chairs,70.28
OFF-FEL-10002867,"Fellowes Lockers, Single Width",Office Supplies,Storage,161.98
TEC-MA-10002520,"Panasonic Receipt Printer, White",Technology,Machines,76.02
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,179.2
TEC-SHA-10004874,"Sharp Fax Machine, High-Speed",Technology,Copiers,210.73
FUR-TA-10001866,Bevis Round Conference Room Tables and Bases,Furniture,Tables,129.05
OFF-AR-10004151,"BIC Sketch Pad, Blue",Office Supplies,Art,33.58
FUR-CH-10001270,Harbour Creations Steel Folding Chair,Furniture,Chairs,56.22
FUR-HON-10002424,"Hon Steel Folding Chair, Red",Furniture,Chairs,30.96
OFF-FEL-10002897,"Fellowes Shelving, Single Width",Office Supplies,Storage,33.08
TEC-APP-10004912,"Apple Speaker Phone, with Caller ID",Technology,Phones,87.94
OFF-AR-10001418,"BIC Markers, Easy-Erase",Office Supplies,Art,15.11
TEC-KON-10002194,"Konica Printer, White",Technology,Machines,170.17
FUR-FU-10002210,"Tenex Clock, Black",Furniture,Furnishings,39.46
FUR-CH-10001465,"Hon Swivel Stool, Red",Furniture,Chairs,81.01
OFF-EN-10004495,"Kraft Peel and Seal, Security-Tint",Office Supplies,Envelopes,18.83
TEC-AC-10004791,"Belkin Keyboard, USB",Technology,Accessories,71.15
TEC-PH-10001619,"Cisco Signal Booster, Full Size",Technology,Phones,124.26
FUR-SAF-10004530,"Safco Floating Shelf Set, Traditional",Furniture,Bookcases,97.86
OFF-ST-10000875,"Smead Shelving, Single Width",Office Supplies,Storage,23.2
OFF-ST-10003692,Recycled Steel Personal File for Hanging File Folders,Office Supplies,Storage,40.16
OFF-STA-10000298,"Stanley Canvas, Blue",Office Supplies,Art,37.37
OFF-ST-10000988,"Fellowes Folders, Blue",Office Supplies,Storage,10.53
OFF-ST-10001469,Fellowes Bankers Box Recycled Super Stor/Drawer,Office Supplies,Storage,48.14
FUR-FU-10001095,DAX Black Cherry Wood-Tone Poster Frame,Furniture,Furnishings,15.29
TEC-STA-10004927,"StarTech Receipt Printer, Wireless",Technology,Machines,99.41
OFF-ACC-10004692,"Acco 3-Hole Punch, Recycled",Office Supplies,Binders,21.05
TEC-MA-10001825,"Epson Calculator, Durable",Technology,Machines,27.9
OFF-SU-10001770,"Acme Scissors, Easy Grip",Office Supplies,Supplies,10.11
OFF-PA-10000116,"Xerox Parchment Paper, Premium",Office Supplies,Paper,9.33
OFF-ELD-10002578,"Eldon Box, Single Width",Office Supplies,Storage,6.7
OFF-AR-10004884,"Sanford Pens, Fluorescent",Office Supplies,Art,7.73
OFF-AR-10000505,"Binney & Smith Pens, Easy-Erase",Office Supplies,Art,11.93
OFF-ST-10000127,"Fellowes Shelving, Wire Frame",Office Supplies,Storage,32
OFF-OIC-10002161,"OIC Push Pins, Assorted Sizes",Office Supplies,Fasteners,6.8
OFF-HON-10001783,"Hon Shipping Labels, 5000 Label Set",Office Supplies,Labels,3.88
FUR-NOV-10004962,"Novimex Bag Chairs, Adjustable",Furniture,Chairs,34.15
OFF-FA-10004395,Plymouth Boxed Rubber Bands by Plymouth,Office Supplies,Fasteners,4.1
OFF-PA-10003036,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Office Supplies,Paper,3.35
OFF-HON-10000137,"Hon Round Labels, Laser Printer Compatible",Office Supplies,Labels,2.96
OFF-BI-10004436,"Acco Hole Reinforcements, Recycled",Office Supplies,Binders,6.43
OFF-BI-10000583,"Wilson Jones Hole Reinforcements, Clear",Office Supplies,Binders,2.73
OFF-BI-10003650,"Ibico Index Tab, Clear",Office Supplies,Binders,6.84
OFF-TEN-10003211,"Tenex Box, Wire Frame",Office Supplies,Storage,8.03
OFF-HOO-10002386,"Hoover Toaster, Silver",Office Supplies,Appliances,53.94
TEC-PH-10003655,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,Technology,Phones,1.31
TEC-PH-10003963,"Apple Signal Booster, Full Size",Technology,Phones,110.7
OFF-BI-10003705,"Wilson Jones Binding Machine, Recycled",Office Supplies,Binders,32.05
FUR-BO-10003408,"Ikea 3-Shelf Cabinet, Metal",Furniture,Bookcases,103.62
OFF-AR-10000399,"Stanley Canvas, Water Color",Office Supplies,Art,22.21
TEC-PH-10002871,"Motorola Audio Dock, with Caller ID",Technology,Phones,72.08
OFF-BI-10004651,"Cardinal Binding Machine, Clear",Office Supplies,Binders,17.95
OFF-AP-10002753,"Cuisinart Toaster, Red",Office Supplies,Appliances,30.37
TEC-AC-10004379,"SanDisk Flash Drive, Programmable",Technology,Accessories,20.51
TEC-AC-10002760,"Memorex Memory Card, Erganomic",Technology,Accessories,63.14
TEC-AC-10003851,"Memorex Keyboard, Bluetooth",Technology,Accessories,30.64
FUR-CH-10004783,"Novimex Chairmat, Red",Furniture,Chairs,30.57
OFF-ST-10001374,"Rogers Trays, Wire Frame",Office Supplies,Storage,33.02
OFF-AR-10001991,"Stanley Markers, Easy-Erase",Office Supplies,Art,7.84
FUR-FU-10003283,"Rubbermaid Stacking Tray, Durable",Furniture,Furnishings,9.27
OFF-ST-10004857,"Smead Folders, Single Width",Office Supplies,Storage,10.89
OFF-LA-10002312,Avery 490,Office Supplies,Labels,5.9
OFF-ST-10003319,"Rogers Box, Wire Frame",Office Supplies,Storage,14.42
OFF-BI-10000188,"Cardinal Hole Reinforcements, Economy",Office Supplies,Binders,3.07
OFF-ST-10000636,Rogers Profile Extra Capacity Storage Tub,Office Supplies,Storage,15.68
OFF-BI-10004305,"Cardinal Hole Reinforcements, Durable",Office Supplies,Binders,3.28
OFF-BI-10002222,"Cardinal Binder Covers, Clear",Office Supplies,Binders,6.06
OFF-BI-10000042,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",Office Supplies,Binders,2.77
OFF-BI-10000145,Zipper Ring Binder Pockets,Office Supplies,Binders,1.42
OFF-LA-10001764,"Avery Round Labels, Adjustable",Office Supplies,Labels,4.85
OFF-EN-10002226,"Jiffy Clasp Envelope, Recycled",Office Supplies,Envelopes,4.57
FUR-CH-10003841,"Harbour Creations Swivel Stool, Black",Furniture,Chairs,67.07
FUR-BO-10004254,"Ikea Classic Bookcase, Traditional",Furniture,Bookcases,227.1
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,177.27
TEC-PH-10002563,Adtran 1202752G1,Technology,Phones,77.19
TEC-AC-10000140,"Enermax Numeric Keypad, Bluetooth",Technology,Accessories,38.59
FUR-BO-10002084,"Dania Library with Doors, Metal",Furniture,Bookcases,142.77
TEC-AC-10002263,"SanDisk Memory Card, Bluetooth",Technology,Accessories,81.75
TEC-AC-10001082,"Enermax Keyboard, Bluetooth",Technology,Accessories,46.58
TEC-PH-10004888,"Samsung Audio Dock, VoIP",Technology,Phones,39.3
OFF-AR-10003336,"Sanford Pencil Sharpener, Easy-Erase",Office Supplies,Art,6.26
TEC-PH-10003770,"Apple Speaker Phone, Full Size",Technology,Phones,59.29
OFF-FEL-10001865,"Fellowes File Cart, Wire Frame",Office Supplies,Storage,99.08
OFF-EN-10003465,"Cameo Peel and Seal, Security-Tint",Office Supplies,Envelopes,19.26
TEC-AC-10003738,"Enermax Mouse, Erganomic",Technology,Accessories,6.65
OFF-AR-10002135,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Office Supplies,Art,31.83
OFF-BI-10002225,"Cardinal Binding Machine, Durable",Office Supplies,Binders,26.38
OFF-BI-10001765,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,Office Supplies,Binders,15.2
OFF-ST-10004972,"Eldon Shelving, Blue",Office Supplies,Storage,20.7
OFF-BI-10004924,"Cardinal 3-Hole Punch, Economy",Office Supplies,Binders,11.55
OFF-ST-10002276,Safco Steel Mobile File Cart,Office Supplies,Storage,58.47
TEC-ENE-10002686,"Enermax Numeric Keypad, Erganomic",Technology,Accessories,44.98
OFF-SME-10002823,"Smead Trays, Blue",Office Supplies,Storage,36.15
OFF-AP-10004859,Acco 6 Outlet Guardian Premium Surge Suppressor,Office Supplies,Appliances,9.49
FUR-CH-10001204,"Harbour Creations Steel Folding Chair, Red",Furniture,Chairs,57.94
OFF-PA-10004082,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Paper,3.28
OFF-EN-10002007,"Kraft Clasp Envelope, with clear poly window",Office Supplies,Envelopes,9.72
OFF-WIL-10002233,"Wilson Jones Index Tab, Durable",Office Supplies,Binders,6.95
OFF-KRA-10000492,"Kraft Manila Envelope, Recycled",Office Supplies,Envelopes,17.56
OFF-SAN-10002839,"Sanford Canvas, Fluorescent",Office Supplies,Art,29.75
OFF-BI-10000179,"Wilson Jones 3-Hole Punch, Economy",Office Supplies,Binders,17.43
FUR-FU-10001935,3M Hangers With Command Adhesive,Furniture,Furnishings,1.74
OFF-PA-10000061,Xerox 205,Office Supplies,Paper,2.74
OFF-EN-10002849,"Kraft Interoffice Envelope, with clear poly window",Office Supplies,Envelopes,29.34
OFF-BI-10003440,"Avery Binder Covers, Economy",Office Supplies,Binders,6.84
OFF-STO-10000683,"Stockwell Thumb Tacks, Assorted Sizes",Office Supplies,Fasteners,6.87
OFF-BI-10001072,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",Office Supplies,Binders,7.74
OFF-ADV-10004875,"Advantus Staples, Bulk Pack",Office Supplies,Fasteners,5.8
OFF-IBI-10001640,"Ibico Hole Reinforcements, Economy",Office Supplies,Binders,2.89
FUR-TA-10003747,"Lesro Round Table, Rectangular",Furniture,Tables,314.68
TEC-PH-10004586,Wilson SignalBoost 841262 DB PRO Amplifier Kit,Technology,Phones,205.52
FUR-TA-10003185,"Chromcraft Computer Table, Fully Assembled",Furniture,Tables,297.16
OFF-AR-10000019,"BIC Highlighters, Blue",Office Supplies,Art,4.65
FUR-BO-10004567,"Bush Floating Shelf Set, Mobile",Furniture,Bookcases,78.21
OFF-PA-10001170,"Xerox Cards & Envelopes, Multicolor",Office Supplies,Paper,18.89
OFF-AR-10003217,"Sanford Highlighters, Fluorescent",Office Supplies,Art,4.31
FUR-ELD-10000857,"Eldon Door Stop, Erganomic",Furniture,Furnishings,37.63
OFF-BI-10003355,Cardinal Holdit Business Card Pockets,Office Supplies,Binders,2.34
OFF-ACC-10001285,"Acco Index Tab, Clear",Office Supplies,Binders,6.99
OFF-BI-10000546,Avery Durable Binders,Office Supplies,Binders,1.47
TEC-CO-10000129,"Brother Fax and Copier, Color",Technology,Copiers,119.69
TEC-MA-10000429,"Konica Card Printer, Red",Technology,Machines,72.66
FUR-OFF-10002542,"Office Star Executive Leather Armchair, Adjustable",Furniture,Chairs,402.53
FUR-SAF-10002180,"SAFCO Executive Leather Armchair, Red",Furniture,Chairs,422.29
FUR-CH-10003440,"Harbour Creations Steel Folding Chair, Set of Two",Furniture,Chairs,56.36
TEC-AC-10001486,"Belkin Flash Drive, Programmable",Technology,Accessories,34.07
OFF-ROG-10001399,"Rogers Shelving, Single Width",Office Supplies,Storage,51.01
OFF-STA-10004108,"Stanley Canvas, Easy-Erase",Office Supplies,Art,26.48
OFF-CUI-10000140,"Cuisinart Microwave, Silver",Office Supplies,Appliances,262.63
OFF-ST-10003414,"Tenex Shelving, Industrial",Office Supplies,Storage,36.97
OFF-HOO-10002715,"Hoover Coffee Grinder, White",Office Supplies,Appliances,59.66
OFF-FA-10001097,"Accos Paper Clips, Assorted Sizes",Office Supplies,Fasteners,9.79
OFF-EN-10004173,"Ames Peel and Seal, Recycled",Office Supplies,Envelopes,10.21
FUR-BO-10003086,"Safco Library with Doors, Traditional",Furniture,Bookcases,278.8
OFF-STI-10002716,"Stiletto Box Cutter, Serrated",Office Supplies,Supplies,16.01
OFF-CAR-10004661,"Cardinal Binding Machine, Recycled",Office Supplies,Binders,38.4
OFF-ELD-10000151,"Eldon File Cart, Industrial",Office Supplies,Storage,105.22
FUR-TEN-10000407,"Tenex Door Stop, Erganomic",Furniture,Furnishings,31.91
TEC-AC-10003734,"Memorex Numeric Keypad, Erganomic",Technology,Accessories,23.49
OFF-PA-10002377,Xerox 1916,Office Supplies,Paper,21.03
OFF-AP-10001005,Honeywell Quietcare HEPA Air Cleaner,Office Supplies,Appliances,47.28
OFF-ACM-10003510,"Acme Scissors, High Speed",Office Supplies,Supplies,21.96
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,6.97
